timestamp,male,female,aufmacher
1589245648.1170847,27,14,0
1589249321.445945,27,14,0
1589252909.1933012,27,14,0
1589256591.2188234,30,14,1
1589260079.3386943,30,13,1
1589263736.8863947,29,12,1
1589267394.7206335,27,14,1
1589270881.504099,30,16,0
1589274497.2281184,29,17,0
1589278031.7706985,28,19,0
1589281678.755769,28,19,1
1589285392.8750262,27,18,1
1589289000.349632,25,16,0
1589292595.5333598,26,15,1
1589295944.512234,25,17,1
1589299848.0682492,28,15,1
1589303404.2771523,27,18,0
1589306912.1469283,29,15,0
1589310663.2081563,28,16,0
1589313984.1053948,27,19,0
1589317550.5554657,26,20,0
1589321185.4012322,25,21,0
1589324727.8442652,25,21,0
1589328884.64291,25,21,0
1589332240.4691958,25,21,0
1589335846.928528,25,21,0
1589339328.9329765,25,21,0
1589342813.7830713,27,22,0
1589346505.401721,27,21,0
1589350045.222396,29,18,0
1589353541.8087344,29,16,0
1589357232.716261,29,16,1
1589360881.9917903,29,16,1
1589364366.9758275,28,12,1
1589368210.7575643,29,14,0
1589371655.3286595,30,13,0
1589375542.374144,35,15,0
1589378745.0529563,34,14,0
1589382564.181986,37,12,0
1589385968.223485,35,14,0
1589389639.107598,32,16,1
1589393274.0283163,33,16,0
1589396841.2564545,32,16,0
1589400392.303158,33,14,0
1589403947.2486944,34,14,0
1589407592.7595935,32,13,0
1589411243.6427708,32,13,0
1589415282.5314798,32,13,0
1589418663.5217826,32,13,0
1589422130.641154,32,13,0
1589425650.1729183,32,12,0
1589429398.5821419,31,11,0
1589432761.6580675,30,13,0
1589436422.1452382,28,16,1
1589440061.0096507,29,16,1
1589443586.8420732,29,18,1
1589447383.9460747,30,17,0
1589450938.164921,27,19,1
1589454445.2015486,28,18,1
1589458202.9460058,35,16,1
1589461794.4794168,32,14,0
1589465216.3711154,31,17,0
1589468878.3997025,30,16,0
1589472424.577923,39,16,0
1589475983.5346904,37,17,0
1589479612.5735917,32,17,1
1589483223.829098,31,17,1
1589486821.5081515,29,19,0
1589490387.2071307,28,20,1
1589494129.7973852,27,21,1
1589497649.5286953,27,21,1
1589501688.8303533,27,21,1
1589505100.6831682,27,21,1
1589508597.301056,27,21,1
1589512139.1845822,27,21,1
1589515896.8926275,26,17,1
1589519291.5602922,26,16,1
1589522822.496808,31,15,0
1589526391.8857622,32,15,0
1589529986.4080465,32,14,0
1589533886.1028953,34,13,1
1589537227.7675817,29,17,1
1589540820.5450077,35,18,1
1589544452.4361079,29,19,1
1589548030.163202,31,19,0
